"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","Effective_year_GDP","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,1,18286,1e+06,1.8286e+10,"BGN","GVA","Constant",2021,"2015",2015,89571386000,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,1,20688,1e+06,2.0688e+10,"BGN","GVA","Constant",2022,"2015",2015,89571386000,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS",2,1,108512,1e+06,1.08512e+11,"CAD","GDP","Constant",2019,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS",2,1,99944,1e+06,9.9944e+10,"CAD","GDP","Constant",2020,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS",2,1,106757,1e+06,1.06757e+11,"CAD","GDP","Constant",2021,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS",2,1,111997,1e+06,1.11997e+11,"CAD","GDP","Constant",2022,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS",3,2,27001,1e+06,2.7001e+10,"CAD","GDP","Constant",2019,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS",3,2,25514,1e+06,2.5514e+10,"CAD","GDP","Constant",2020,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS",3,2,26627,1e+06,2.6627e+10,"CAD","GDP","Constant",2021,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS",3,2,26493,1e+06,2.6493e+10,"CAD","GDP","Constant",2022,"2017",2017,2.140641e+12,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
