"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"317","MEX","Mexico","B07","Mining of metal ores",1995,10697.36,"A","Normal value","MXN","Mexican peso"
"318","MEX","Mexico","B07","Mining of metal ores",2001,6975.169,"A","Normal value","MXN","Mexican peso"
"319","MEX","Mexico","B07","Mining of metal ores",2007,52126.709,"A","Normal value","MXN","Mexican peso"
"320","MEX","Mexico","B07","Mining of metal ores",2013,115836.901,"A","Normal value","MXN","Mexican peso"
"321","MEX","Mexico","B07","Mining of metal ores",2019,172785.247,"A","Normal value","MXN","Mexican peso"
"322","COL","Colombia","B09","Mining support service activities",2009,166000,"A","Normal value","COP","Colombian peso"
"323","COL","Colombia","B09","Mining support service activities",2015,194000,"A","Normal value","COP","Colombian peso"
"324","COL","Colombia","B09","Mining support service activities",2021,243000,"P","Provisional value","COP","Colombian peso"
"325","CAN","Canada","B09","Mining support service activities",2012,19078,"A","Normal value","CAD","Canadian dollar"
"326","CAN","Canada","B09","Mining support service activities",2018,15490,"A","Normal value","CAD","Canadian dollar"
"327","LVA","Latvia","B09","Mining support service activities",1997,0,"A","Normal value","EUR","Euro"
"328","LVA","Latvia","B09","Mining support service activities",2003,0,"A","Normal value","EUR","Euro"
"329","LVA","Latvia","B09","Mining support service activities",2009,0.618,"A","Normal value","EUR","Euro"
"330","LVA","Latvia","B09","Mining support service activities",2015,0.293,"A","Normal value","EUR","Euro"
"331","LVA","Latvia","B09","Mining support service activities",2021,0.031,"A","Normal value","EUR","Euro"
"332","USA","United States","B07","Mining of metal ores",1997,4094.866,"A","Normal value","USD","US dollar"
"333","USA","United States","B07","Mining of metal ores",2003,4305.849,"A","Normal value","USD","US dollar"
"334","USA","United States","B07","Mining of metal ores",2009,13424.638,"A","Normal value","USD","US dollar"
"335","USA","United States","B07","Mining of metal ores",2015,9675.402,"A","Normal value","USD","US dollar"
"336","USA","United States","B07","Mining of metal ores",2021,13881.996,"A","Normal value","USD","US dollar"
"337","CZE","Czechia","B","Mining and quarrying",2000,28683,"A","Normal value","CZK","Czech koruna"
"338","CZE","Czechia","B","Mining and quarrying",2006,41706,"A","Normal value","CZK","Czech koruna"
"339","CZE","Czechia","B","Mining and quarrying",2012,42979,"A","Normal value","CZK","Czech koruna"
"340","CZE","Czechia","B","Mining and quarrying",2018,33162,"A","Normal value","CZK","Czech koruna"
"341","CAN","Canada","B05","Mining of coal and lignite",2008,3795,"A","Normal value","CAD","Canadian dollar"
"342","CAN","Canada","B05","Mining of coal and lignite",2014,2078,"A","Normal value","CAD","Canadian dollar"
"343","CAN","Canada","B05","Mining of coal and lignite",2020,1641,"A","Normal value","CAD","Canadian dollar"
"344","EU27_2020","European Union (27 countries from 01/02/2020)","B","Mining and quarrying",1995,36856.355,"A","Normal value","EUR","Euro"
"345","EU27_2020","European Union (27 countries from 01/02/2020)","B","Mining and quarrying",2001,40419.543,"A","Normal value","EUR","Euro"
"346","EU27_2020","European Union (27 countries from 01/02/2020)","B","Mining and quarrying",2007,57924.577,"A","Normal value","EUR","Euro"
"347","EU27_2020","European Union (27 countries from 01/02/2020)","B","Mining and quarrying",2013,63891.312,"A","Normal value","EUR","Euro"
"348","EU27_2020","European Union (27 countries from 01/02/2020)","B","Mining and quarrying",2019,41889.059,"A","Normal value","EUR","Euro"
"349","CHE","Switzerland","B","Mining and quarrying",1999,716.945,"A","Normal value","CHF","Swiss franc"
"350","CHE","Switzerland","B","Mining and quarrying",2005,755.263,"A","Normal value","CHF","Swiss franc"
"351","CHE","Switzerland","B","Mining and quarrying",2011,830.571,"A","Normal value","CHF","Swiss franc"
"352","CHE","Switzerland","B","Mining and quarrying",2017,872.417,"A","Normal value","CHF","Swiss franc"
"353","CRI","Costa Rica","B08","Other mining and quarrying",1995,7384.504,"A","Normal value","CRC","Costa Rican colon"
"354","CRI","Costa Rica","B08","Other mining and quarrying",2001,25474.802,"A","Normal value","CRC","Costa Rican colon"
"355","CRI","Costa Rica","B08","Other mining and quarrying",2007,67640.248,"A","Normal value","CRC","Costa Rican colon"
"356","CRI","Costa Rica","B08","Other mining and quarrying",2013,83741.159,"A","Normal value","CRC","Costa Rican colon"
"357","CRI","Costa Rica","B08","Other mining and quarrying",2019,112094.928,"A","Normal value","CRC","Costa Rican colon"
"358","SEN","Senegal","B06","Extraction of crude petroleum and natural gas",2019,1560,"A","Normal value","XOF","CFA Franc - BCEAO"
"359","MEX","Mexico","B05","Mining of coal and lignite",1995,1317.114,"A","Normal value","MXN","Mexican peso"
"360","MEX","Mexico","B05","Mining of coal and lignite",2001,2937.508,"A","Normal value","MXN","Mexican peso"
"361","MEX","Mexico","B05","Mining of coal and lignite",2007,3885.383,"A","Normal value","MXN","Mexican peso"
"362","MEX","Mexico","B05","Mining of coal and lignite",2013,6041.112,"A","Normal value","MXN","Mexican peso"
"363","MEX","Mexico","B05","Mining of coal and lignite",2019,7230.335,"A","Normal value","MXN","Mexican peso"
"364","SEN","Senegal","B07","Mining of metal ores",2017,145988,"A","Normal value","XOF","CFA Franc - BCEAO"
"365","LVA","Latvia","B06","Extraction of crude petroleum and natural gas",1995,0,"A","Normal value","EUR","Euro"
"366","LVA","Latvia","B06","Extraction of crude petroleum and natural gas",2001,0,"A","Normal value","EUR","Euro"
"367","LVA","Latvia","B06","Extraction of crude petroleum and natural gas",2007,0,"A","Normal value","EUR","Euro"
"368","LVA","Latvia","B06","Extraction of crude petroleum and natural gas",2013,0.547,"A","Normal value","EUR","Euro"
"369","LVA","Latvia","B06","Extraction of crude petroleum and natural gas",2019,0.287,"A","Normal value","EUR","Euro"
"370","PRT","Portugal","B","Mining and quarrying",1997,571.736,"A","Normal value","EUR","Euro"
"371","PRT","Portugal","B","Mining and quarrying",2003,535.92,"A","Normal value","EUR","Euro"
"372","PRT","Portugal","B","Mining and quarrying",2009,646.144,"A","Normal value","EUR","Euro"
"373","PRT","Portugal","B","Mining and quarrying",2015,500.495,"A","Normal value","EUR","Euro"
"374","PRT","Portugal","B","Mining and quarrying",2021,793.635,"A","Normal value","EUR","Euro"
"375","COL","Colombia","B05","Mining of coal and lignite",2006,5705000,"A","Normal value","COP","Colombian peso"
"376","COL","Colombia","B05","Mining of coal and lignite",2012,10973000,"A","Normal value","COP","Colombian peso"
"377","COL","Colombia","B05","Mining of coal and lignite",2018,15167000,"A","Normal value","COP","Colombian peso"
"378","HUN","Hungary","B","Mining and quarrying",1999,26904,"A","Normal value","HUF","Forint"
"379","HUN","Hungary","B","Mining and quarrying",2005,46580,"A","Normal value","HUF","Forint"
"380","HUN","Hungary","B","Mining and quarrying",2011,58230,"A","Normal value","HUF","Forint"
"381","HUN","Hungary","B","Mining and quarrying",2017,64790,"A","Normal value","HUF","Forint"
"382","NOR","Norway","B","Mining and quarrying",1973,975,"A","Normal value","NOK","Norwegian krone"
"383","NOR","Norway","B","Mining and quarrying",1979,22965,"A","Normal value","NOK","Norwegian krone"
"384","NOR","Norway","B","Mining and quarrying",1985,96269,"A","Normal value","NOK","Norwegian krone"
"385","NOR","Norway","B","Mining and quarrying",1991,93741,"A","Normal value","NOK","Norwegian krone"
"386","NOR","Norway","B","Mining and quarrying",1997,170772,"A","Normal value","NOK","Norwegian krone"
"387","NOR","Norway","B","Mining and quarrying",2003,290954,"A","Normal value","NOK","Norwegian krone"
"388","NOR","Norway","B","Mining and quarrying",2009,484172,"A","Normal value","NOK","Norwegian krone"
"389","NOR","Norway","B","Mining and quarrying",2015,523925,"A","Normal value","NOK","Norwegian krone"
"390","NOR","Norway","B","Mining and quarrying",2021,1021893,"A","Normal value","NOK","Norwegian krone"
"391","SVK","Slovak Republic","B","Mining and quarrying",1995,168.838,"A","Normal value","EUR","Euro"
"392","SVK","Slovak Republic","B","Mining and quarrying",2001,221.972,"A","Normal value","EUR","Euro"
"393","SVK","Slovak Republic","B","Mining and quarrying",2007,327.123,"A","Normal value","EUR","Euro"
"394","SVK","Slovak Republic","B","Mining and quarrying",2013,332.222,"A","Normal value","EUR","Euro"
"395","SVK","Slovak Republic","B","Mining and quarrying",2019,170.919,"A","Normal value","EUR","Euro"
"396","AUS","Australia","B","Mining and quarrying",1994,21266,"A","Normal value","AUD","Australian dollar"
"397","AUS","Australia","B","Mining and quarrying",2000,35467,"A","Normal value","AUD","Australian dollar"
"398","AUS","Australia","B","Mining and quarrying",2006,77008,"A","Normal value","AUD","Australian dollar"
"399","AUS","Australia","B","Mining and quarrying",2012,118276,"A","Normal value","AUD","Australian dollar"
"400","AUS","Australia","B","Mining and quarrying",2018,191864,"A","Normal value","AUD","Australian dollar"
"401","ROU","Romania","B09","Mining support service activities",1998,156.8,"A","Normal value","RON","Romanian leu"
"402","ROU","Romania","B09","Mining support service activities",2004,566.8,"A","Normal value","RON","Romanian leu"
