"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.927627,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.926081,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.925198,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.908774,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.897316,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.882667,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.886484,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.861092,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.859472,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.871939,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.847147,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.847836,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.840714,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.807398,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.792683,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.771068,,
"FRA","France","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.736562,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2000","2000","MXN","Mexican Peso","0","Units",,,9.5722,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2001","2001","MXN","Mexican Peso","0","Units",,,9.1423,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2002","2002","MXN","Mexican Peso","0","Units",,,10.3125,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2003","2003","MXN","Mexican Peso","0","Units",,,11.236,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2004","2004","MXN","Mexican Peso","0","Units",,,11.2648,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2005","2005","MXN","Mexican Peso","0","Units",,,10.7777,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2006","2006","MXN","Mexican Peso","0","Units",,,10.881,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2007","2007","MXN","Mexican Peso","0","Units",,,10.8662,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2008","2008","MXN","Mexican Peso","0","Units",,,13.5383,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2009","2009","MXN","Mexican Peso","0","Units",,,13.0587,,
