"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"124","MKD","North Macedonia","A03","Fishing and aquaculture",2001,18,"A","Normal value","MKD","Denar"
"125","MKD","North Macedonia","A03","Fishing and aquaculture",2003,24,"A","Normal value","MKD","Denar"
"126","MKD","North Macedonia","A03","Fishing and aquaculture",2005,26,"A","Normal value","MKD","Denar"
"127","MKD","North Macedonia","A03","Fishing and aquaculture",2007,55,"A","Normal value","MKD","Denar"
"128","MKD","North Macedonia","A03","Fishing and aquaculture",2009,81,"A","Normal value","MKD","Denar"
"129","MKD","North Macedonia","A03","Fishing and aquaculture",2011,138,"A","Normal value","MKD","Denar"
"130","MKD","North Macedonia","A03","Fishing and aquaculture",2013,124,"A","Normal value","MKD","Denar"
"131","MKD","North Macedonia","A03","Fishing and aquaculture",2015,168.187,"A","Normal value","MKD","Denar"
"132","MKD","North Macedonia","A03","Fishing and aquaculture",2017,147.292,"A","Normal value","MKD","Denar"
"133","MKD","North Macedonia","A03","Fishing and aquaculture",2019,235.477,"A","Normal value","MKD","Denar"
"134","BGR","Bulgaria","A03","Fishing and aquaculture",1996,0.788,"A","Normal value","BGN","Bulgarian lev"
"135","BGR","Bulgaria","A03","Fishing and aquaculture",1998,13.32,"A","Normal value","BGN","Bulgarian lev"
"136","BGR","Bulgaria","A03","Fishing and aquaculture",2000,12.217,"A","Normal value","BGN","Bulgarian lev"
"137","BGR","Bulgaria","A03","Fishing and aquaculture",2002,13.842,"A","Normal value","BGN","Bulgarian lev"
"138","BGR","Bulgaria","A03","Fishing and aquaculture",2004,13.628,"A","Normal value","BGN","Bulgarian lev"
"139","BGR","Bulgaria","A03","Fishing and aquaculture",2006,16.342,"A","Normal value","BGN","Bulgarian lev"
"140","BGR","Bulgaria","A03","Fishing and aquaculture",2008,19.586,"A","Normal value","BGN","Bulgarian lev"
"141","BGR","Bulgaria","A03","Fishing and aquaculture",2010,22.041,"A","Normal value","BGN","Bulgarian lev"
"142","BGR","Bulgaria","A03","Fishing and aquaculture",2012,29.952,"A","Normal value","BGN","Bulgarian lev"
"143","BGR","Bulgaria","A03","Fishing and aquaculture",2014,50.117,"A","Normal value","BGN","Bulgarian lev"
"144","BGR","Bulgaria","A03","Fishing and aquaculture",2016,39.444,"A","Normal value","BGN","Bulgarian lev"
"145","BGR","Bulgaria","A03","Fishing and aquaculture",2018,25.83,"A","Normal value","BGN","Bulgarian lev"
"146","BGR","Bulgaria","A03","Fishing and aquaculture",2020,41.535,"A","Normal value","BGN","Bulgarian lev"
"147","GEO","Georgia","A","Agriculture, forestry and fishing",2011,2326.658,"A","Normal value","GEL","Lari"
"148","GEO","Georgia","A","Agriculture, forestry and fishing",2013,2463.741,"A","Normal value","GEL","Lari"
"149","GEO","Georgia","A","Agriculture, forestry and fishing",2015,2651.59,"A","Normal value","GEL","Lari"
"150","GEO","Georgia","A","Agriculture, forestry and fishing",2017,2543.582,"A","Normal value","GEL","Lari"
"151","GEO","Georgia","A","Agriculture, forestry and fishing",2019,3203.683,"A","Normal value","GEL","Lari"
"152","GEO","Georgia","A","Agriculture, forestry and fishing",2021,3880.012,"A","Normal value","GEL","Lari"
"153","DNK","Denmark","A","Agriculture, forestry and fishing",1966,5513,"A","Normal value","DKK","Danish krone"
