"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"108","CYP","Cyprus","H","Transportation and storage",1997,738.4,"A","Normal value","EUR","Euro"
"109","CYP","Cyprus","H","Transportation and storage",1999,800,"A","Normal value","EUR","Euro"
"110","CYP","Cyprus","H","Transportation and storage",2001,836.6,"A","Normal value","EUR","Euro"
"111","CYP","Cyprus","H","Transportation and storage",2003,876.4,"A","Normal value","EUR","Euro"
"112","CYP","Cyprus","H","Transportation and storage",2005,883.7,"A","Normal value","EUR","Euro"
"113","CYP","Cyprus","H","Transportation and storage",2007,974.9,"A","Normal value","EUR","Euro"
"114","CYP","Cyprus","H","Transportation and storage",2009,1151.6,"A","Normal value","EUR","Euro"
"115","CYP","Cyprus","H","Transportation and storage",2011,1410.9,"A","Normal value","EUR","Euro"
"116","CYP","Cyprus","H","Transportation and storage",2013,1217,"A","Normal value","EUR","Euro"
"117","CYP","Cyprus","H","Transportation and storage",2015,1237.5,"A","Normal value","EUR","Euro"
"118","CYP","Cyprus","H","Transportation and storage",2017,1240.2,"A","Normal value","EUR","Euro"
"119","CYP","Cyprus","H","Transportation and storage",2019,1408,"A","Normal value","EUR","Euro"
"120","GBR","United Kingdom","H50","Water transport",1995,2021,"A","Normal value","GBP","Pound sterling"
"121","GBR","United Kingdom","H50","Water transport",1997,2509,"A","Normal value","GBP","Pound sterling"
"122","GBR","United Kingdom","H50","Water transport",1999,2683,"A","Normal value","GBP","Pound sterling"
"123","GBR","United Kingdom","H50","Water transport",2001,3809,"A","Normal value","GBP","Pound sterling"
"124","GBR","United Kingdom","H50","Water transport",2003,3836,"A","Normal value","GBP","Pound sterling"
"125","GBR","United Kingdom","H50","Water transport",2005,4921,"A","Normal value","GBP","Pound sterling"
"126","GBR","United Kingdom","H50","Water transport",2007,3630,"A","Normal value","GBP","Pound sterling"
"127","GBR","United Kingdom","H50","Water transport",2009,3278,"A","Normal value","GBP","Pound sterling"
"128","GBR","United Kingdom","H50","Water transport",2011,5063,"A","Normal value","GBP","Pound sterling"
"129","GBR","United Kingdom","H50","Water transport",2013,5772,"A","Normal value","GBP","Pound sterling"
"130","GBR","United Kingdom","H50","Water transport",2015,6196,"A","Normal value","GBP","Pound sterling"
"131","GBR","United Kingdom","H50","Water transport",2017,6434,"A","Normal value","GBP","Pound sterling"
"132","GBR","United Kingdom","H50","Water transport",2019,6653,"A","Normal value","GBP","Pound sterling"
"133","GBR","United Kingdom","H50","Water transport",2021,3860,"A","Normal value","GBP","Pound sterling"
"134","AUS","Australia","H","Transportation and storage",1989,20002,"A","Normal value","AUD","Australian dollar"
"135","AUS","Australia","H","Transportation and storage",1991,20941,"A","Normal value","AUD","Australian dollar"
"136","AUS","Australia","H","Transportation and storage",1993,21932,"A","Normal value","AUD","Australian dollar"
"137","AUS","Australia","H","Transportation and storage",1995,25747,"A","Normal value","AUD","Australian dollar"
"138","AUS","Australia","H","Transportation and storage",1997,27919,"A","Normal value","AUD","Australian dollar"
"139","AUS","Australia","H","Transportation and storage",1999,30911,"A","Normal value","AUD","Australian dollar"
"140","AUS","Australia","H","Transportation and storage",2001,34402,"A","Normal value","AUD","Australian dollar"
"141","AUS","Australia","H","Transportation and storage",2003,40571,"A","Normal value","AUD","Australian dollar"
"142","AUS","Australia","H","Transportation and storage",2005,47079,"A","Normal value","AUD","Australian dollar"
"143","AUS","Australia","H","Transportation and storage",2007,58250,"A","Normal value","AUD","Australian dollar"
"144","AUS","Australia","H","Transportation and storage",2009,61021,"A","Normal value","AUD","Australian dollar"
"145","AUS","Australia","H","Transportation and storage",2011,71868,"A","Normal value","AUD","Australian dollar"
"146","AUS","Australia","H","Transportation and storage",2013,75529,"A","Normal value","AUD","Australian dollar"
"147","AUS","Australia","H","Transportation and storage",2015,80200,"A","Normal value","AUD","Australian dollar"
