"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Belize","Mining and quarrying","Mining","B",NA,"1","1","54.4","1000000","54400000","BZD","GDP","Current","2019","Current",NA,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,"1","1","31.1","1000000","31100000","BZD","GDP","Current","2020","Current",NA,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,"1","1","65.5","1000000","65500000","BZD","GDP","Current","2021","Current",NA,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,"1","1","69.3","1000000","69300000","BZD","GDP","Current","2022","Current",NA,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","21479","1000000","2.1479e+10","BGN","GVA","Current","2019","Current",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","21184","1000000","2.1184e+10","BGN","GVA","Current","2020","Current",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","24405","1000000","2.4405e+10","BGN","GVA","Current","2021","Current",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","37145","1000000","3.7145e+10","BGN","GVA","Current","2022","Current",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","19178","1000000","1.9178e+10","BGN","GVA","Constant","2019","2015",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","17357","1000000","1.7357e+10","BGN","GVA","Constant","2020","2015",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","18286","1000000","1.8286e+10","BGN","GVA","Constant","2021","2015",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,"1","20688","1000000","2.0688e+10","BGN","GVA","Constant","2022","2015",NA,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
